station_id,is_installed,is_renting,is_returning,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_scooters_available,num_scooters_unavailable,last_reported,num_classic_available
829fa5a8-cc88-4ab2-9f34-b481aaa1612e,0,0,0,0,0,0,0,0,,,86400,0
5d17f129-af8c-4f30-bc58-6a8279052772,0,0,0,0,0,0,0,0,,,1762789199,0
a6d6d4b2-3666-43ad-a690-7f676bdcc3fd,0,0,0,0,0,0,0,0,,,1762269902,0
f834e75d-0de8-11e7-991c-3863bb43a7d0,0,0,0,0,0,0,0,0,,,1763410595,0
2113559364250874028,0,0,0,0,0,0,0,0,,,1764175134,0
f8347ded-0de8-11e7-991c-3863bb43a7d0,0,0,0,0,0,0,0,0,,,86400,0
f8348719-0de8-11e7-991c-3863bb43a7d0,0,0,0,0,0,0,0,0,,,86400,0
eed9e64f-f09d-43c1-aa31-da968c66750a,0,0,0,0,0,0,0,0,,,86400,0
8e7c1984-dc81-43b0-a0d3-58c6de45225a,0,0,0,0,0,0,0,0,,,86400,0
6eaa7343-402d-41c9-9aac-8c664fdbdcf1,0,0,0,0,0,0,0,0,,,86400,0
acb27827-d69a-4287-b132-3f529ca62ad2,0,0,0,0,0,0,0,0,,,86400,0
2089808297152151688,1,1,1,5,0,1,6,0,0,0,1771335535,5
cad0e759-b605-458a-b772-768dcce81dc6,1,1,1,16,0,0,2,0,0,0,1771335636,16
1331197c-f6c6-4f4a-a29b-95e580359886,1,1,1,8,1,0,9,0,0,0,1771335635,7
2028220168245183460,1,1,1,12,0,0,7,0,0,0,1771335670,12
f8349070-0de8-11e7-991c-3863bb43a7d0,1,1,1,11,0,0,8,0,0,0,1771335667,11
1997031876360597884,1,1,1,5,0,0,6,0,0,0,1771335668,5
f8351569-0de8-11e7-991c-3863bb43a7d0,1,1,1,14,3,0,5,0,0,0,1771335668,11
f834cb89-0de8-11e7-991c-3863bb43a7d0,1,1,1,14,0,1,3,0,0,0,1771335669,14
2071991821019036242,1,1,1,3,0,0,17,0,0,0,1771335608,3
f834c5c9-0de8-11e7-991c-3863bb43a7d0,1,1,1,4,0,1,11,0,0,0,1771335703,4
f834f036-0de8-11e7-991c-3863bb43a7d0,1,1,1,18,3,1,4,0,0,0,1771335704,15
569f4952-5a25-4394-a419-f9c4d9cca6f3,1,1,1,6,0,0,13,0,0,0,1771335701,6
97a1e4e7-a1ff-427a-aaea-48ca0d00bf9c,1,1,1,6,0,0,9,0,0,0,1771335700,6
ea00f276-26dc-48ee-b2c8-6e56fd632a2d,1,1,1,12,1,0,7,0,0,0,1771335701,11
f834a1de-0de8-11e7-991c-3863bb43a7d0,1,1,1,12,0,0,3,0,0,0,1771335700,12
f834916a-0de8-11e7-991c-3863bb43a7d0,1,1,1,5,0,0,10,0,0,0,1771335705,5
f8351255-0de8-11e7-991c-3863bb43a7d0,1,1,1,0,0,0,15,0,,,1771335706,0
6cec3afa-554c-466f-8323-5c619fe0ddc6,1,1,1,2,0,0,9,0,0,0,1771335705,2
f55cdf0a-3d7b-491c-bed2-7dc0ef2062d5,1,1,1,15,2,0,1,0,0,0,1771335706,13
2127634714741013228,1,1,1,12,1,0,12,0,0,0,1771335703,11
25d6f87f-7025-48c5-b202-f91511a4ae19,1,1,1,13,0,0,6,0,0,0,1771335626,13
2131371824572002576,1,1,1,15,0,1,0,0,0,0,1771335626,15
9fef6df2-7f8f-43fc-a85b-7dd5453860f9,1,1,1,2,0,0,17,0,0,0,1771335627,2
f834c6f5-0de8-11e7-991c-3863bb43a7d0,1,1,1,10,2,0,5,0,0,0,1771335627,8
2036103727838931110,1,1,1,3,0,0,8,0,0,0,1771335624,3
aefc33cd-40b9-48da-8b87-415428816bdb,1,1,1,0,0,0,15,0,,,1771335625,0
f7d416f8-4377-4019-bba7-302dc1d5a11d,1,1,1,9,0,0,6,0,0,0,1771335625,9
f834a2a8-0de8-11e7-991c-3863bb43a7d0,1,1,1,16,7,0,3,0,0,0,1771335625,9
e335fa7c-7adf-4360-9bfa-76b18124a56f,1,1,1,8,5,0,3,0,0,0,1771335652,3
87b5a8b7-a330-4c51-ab32-7dafa292c88f,1,1,1,0,0,0,19,0,,,1771335648,0
15ec5783-ca7a-4225-ba51-cd0a45ecc975,1,1,1,2,0,0,9,0,0,0,1771335653,2
f834a67b-0de8-11e7-991c-3863bb43a7d0,1,1,1,12,0,0,7,0,0,0,1771335656,12
1976280681456741062,1,1,1,6,1,0,5,0,0,0,1771335659,5
8d535c23-f186-4161-aa10-17e94be6d4ae,1,1,1,3,0,0,12,0,0,0,1771335662,3
800bde2c-51df-497c-ac2d-bc3a8c00c164,1,1,1,13,1,0,2,0,0,0,1771335664,12
9b0aff89-5242-475e-b03b-87c3c3bf51bb,1,1,1,8,3,0,11,0,0,0,1771335660,5
f83466c6-0de8-11e7-991c-3863bb43a7d0,1,1,1,8,1,0,5,0,0,0,1771335679,7
dcd76e42-eebc-4432-9726-cdb3372b0b07,1,1,1,3,0,0,16,0,0,0,1771335681,3
38706d8c-8d4b-49f7-b6ed-7688449db261,1,1,1,13,0,0,6,0,0,0,1771335682,13
f606593b-3d07-40f2-bc6d-a0eb96588e44,1,1,1,7,1,0,12,0,0,0,1771335680,6
f8350199-0de8-11e7-991c-3863bb43a7d0,1,1,1,13,2,0,6,0,0,0,1771335684,11
f8347a8b-0de8-11e7-991c-3863bb43a7d0,1,1,1,6,1,1,12,0,0,0,1771335689,5
2124664048772581794,1,1,1,4,0,1,6,0,0,0,1771335688,4
f8346e51-0de8-11e7-991c-3863bb43a7d0,1,1,1,8,0,0,7,0,0,0,1771335688,8
1986694622707704150,1,1,1,15,0,0,4,0,0,0,1771335693,15
f834fcbe-0de8-11e7-991c-3863bb43a7d0,1,1,1,1,0,1,13,0,0,0,1771335699,1
f8351791-0de8-11e7-991c-3863bb43a7d0,1,1,1,5,0,0,10,0,0,0,1771335694,5
ab6517ea-ed53-42eb-8881-657d362e56e8,1,1,1,7,0,1,7,0,0,0,1771335698,7
d1a5e406-718c-44b9-b9dd-e63605b888aa,1,1,1,5,0,0,10,0,0,0,1771335697,5
4b5de733-9353-4873-9dc2-9558b3cb063a,1,1,1,4,0,0,11,0,0,0,1771335695,4
2127252912986958612,1,1,1,3,0,0,12,0,0,0,1771335695,3
1994515539257334312,1,1,1,9,3,0,10,0,0,0,1771335637,6
f8351649-0de8-11e7-991c-3863bb43a7d0,1,1,1,17,3,0,2,0,0,0,1771335638,14
82b41ffb-e284-4e4d-b22a-0cad2bfd4bee,1,1,1,18,0,0,1,0,0,0,1771335639,18
c111ef1a-f276-415d-a95e-8e3c4e3a0c03,1,1,1,11,8,2,2,0,0,0,1771335639,3
f8348598-0de8-11e7-991c-3863bb43a7d0,1,1,1,3,1,0,15,0,0,0,1771335641,2
b44b7c3d-c054-4591-92a9-3b96d86050ab,1,1,1,3,0,1,7,0,0,0,1771335645,3
52ca4d94-587f-4a61-a298-a1a755e73bfb,1,1,1,14,0,0,5,0,0,0,1771335643,14
2363c5a3-93cc-41a2-a767-90f1826c041f,1,1,1,9,4,1,17,0,0,0,1771335643,5
5410aac7-2ec0-47b6-b728-b99c5137b463,1,1,1,5,1,0,6,0,0,0,1771335642,4
f8349599-0de8-11e7-991c-3863bb43a7d0,1,1,1,4,0,0,19,0,0,0,1771335675,4
f8346c96-0de8-11e7-991c-3863bb43a7d0,1,1,1,13,6,0,12,0,0,0,1771335671,7
f8350129-0de8-11e7-991c-3863bb43a7d0,1,1,1,11,0,0,7,0,0,0,1771335706,11
4d953f0f-13b5-4b3d-b2da-342003ff7cba,1,1,1,8,2,0,3,0,0,0,1771335706,6
803a0c16-4f81-44f1-8b49-a13fcdda40c1,1,1,1,18,0,0,1,0,0,0,1771335709,18
2132460331327742574,1,1,1,3,0,0,16,0,0,0,1771335709,3
2126567695528519906,1,1,1,12,0,0,8,0,0,0,1771335715,12
2129149628430547474,1,1,1,2,0,0,14,0,0,0,1771335716,2
2036412579943670600,1,1,1,3,0,0,10,0,0,0,1771335712,3
1919521884659886482,1,1,1,5,0,0,14,0,0,0,1771335712,5
ec4e1168-25dc-4929-b17b-e4ae578dd888,1,1,1,1,0,0,13,0,0,0,1771335712,1
2027855476515070160,1,1,1,15,0,0,12,0,0,0,1771335718,15
25489822-e43a-4704-b2a8-d905b78ba77c,1,1,1,8,0,0,6,0,0,0,1771335713,8
1991921362058752616,1,1,1,13,4,1,5,0,0,0,1771335714,9
f8347ba8-0de8-11e7-991c-3863bb43a7d0,1,1,1,12,1,0,7,0,0,0,1771335714,11
01d29f8c-768d-4c4f-84ca-3de966075287,1,1,1,0,0,0,11,0,,,1771335716,0
2039387081833476178,1,1,1,13,0,0,7,0,0,0,1771335716,13
f83532fa-0de8-11e7-991c-3863bb43a7d0,1,1,1,7,0,0,8,0,0,0,1771335717,7
f8352973-0de8-11e7-991c-3863bb43a7d0,1,1,1,4,1,0,11,0,0,0,1771335717,3
918335df-fc1a-45c2-9cfc-c5e2e93aecc0,1,1,1,7,1,0,4,0,0,0,1771335717,6
986068c4-d11a-465a-b8d0-bd0960c57f51,1,1,1,11,0,0,5,0,0,0,1771335725,11
f8351f87-0de8-11e7-991c-3863bb43a7d0,1,1,1,12,1,0,7,0,0,0,1771335725,11
1ef5abb2-5af9-41f2-a0dd-1e44278ad9f1,1,1,1,8,0,0,3,0,0,0,1771335725,8
2438d052-2cd6-4fba-83c9-39f46cb59398,1,1,1,18,2,0,1,0,0,0,1771335721,16
